2025-09-05 14:33:39,410 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:39
2025-09-05 14:33:40,681 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:40
2025-09-05 14:33:41,943 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:41
2025-09-05 14:33:43,205 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:43
2025-09-05 14:33:44,463 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:44
2025-09-05 14:33:45,727 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:45
2025-09-05 14:33:46,995 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:46
2025-09-05 14:33:48,262 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:48
2025-09-05 14:33:49,536 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:49
2025-09-05 14:33:50,799 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:50
2025-09-05 14:33:52,063 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:52
2025-09-05 14:33:53,324 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:53
2025-09-05 14:33:54,594 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:54
2025-09-05 14:33:55,864 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:55
2025-09-05 14:33:57,131 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:57
2025-09-05 14:33:58,406 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:58
2025-09-05 14:33:59,657 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:33:59
2025-09-05 14:34:00,908 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:00
2025-09-05 14:34:02,186 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:02
2025-09-05 14:34:03,445 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:03
2025-09-05 14:34:04,707 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:04
2025-09-05 14:34:05,961 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:05
2025-09-05 14:34:07,221 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:07
2025-09-05 14:34:08,472 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:08
2025-09-05 14:34:09,718 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:09
2025-09-05 14:34:10,972 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:10
2025-09-05 14:34:12,225 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:12
2025-09-05 14:34:13,496 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:13
2025-09-05 14:34:14,758 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:14
2025-09-05 14:34:16,030 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:16
2025-09-05 14:34:17,294 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:17
2025-09-05 14:34:18,560 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:18
2025-09-05 14:34:19,824 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:19
2025-09-05 14:34:21,069 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:21
2025-09-05 14:34:22,329 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:22
2025-09-05 14:34:23,727 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:23
2025-09-05 14:34:24,995 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:24
2025-09-05 14:34:26,262 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:26
2025-09-05 14:34:27,526 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:27
2025-09-05 14:34:28,795 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:28
2025-09-05 14:34:30,057 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:30
2025-09-05 14:34:31,307 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:31
2025-09-05 14:34:32,579 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:32
2025-09-05 14:34:33,841 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:33
2025-09-05 14:34:35,109 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:35
2025-09-05 14:34:36,374 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:36
2025-09-05 14:34:37,643 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:37
2025-09-05 14:34:38,919 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:38
2025-09-05 14:34:40,180 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:40
2025-09-05 14:34:41,443 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:41
2025-09-05 14:34:42,709 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:42
2025-09-05 14:34:43,974 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:43
2025-09-05 14:34:45,237 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:45
2025-09-05 14:34:46,486 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:46
2025-09-05 14:34:47,741 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:47
